Country Name,Series Name,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,Inc50Years,%In50Years
Afghanistan,"Population, total",8996973,11173642,13356511,12412308,20779953,29185507,38928000,48094000,56912000,64683000,27754358,248.3913302
Albania,"Population, total",1608800,2135479,2671997,3286542,3089027,2913021,2867000,2830000,2696000,2493000,731521,34.25559324
Algeria,"Population, total",11057863,14464985,19221665,25758869,31042235,35977455,43851000,50361000,55640000,60923000,29386015,203.1527513
American Samoa,"Population, total",20123,27363,32646,47347,57821,56079,55000,55000,54000,54000,27637,101.0013522
Andorra,"Population, total",13411,24276,36067,54509,65390,84449,77000,78000,78000,76000,52724,217.1856978
Angola,"Population, total",5454933,5890365,8341289,11848386,16395473,23356246,32866000,44835000,59782000,77420000,26975635,457.9620278
Antigua and Barbuda,"Population, total",54131,64177,61865,62528,76016,88028,98000,105000,109000,111000,33823,52.70268165
Arab World,"Population, total",92197753,121785650,164420785,222653373,282344154,354890042,436091000,519260000,596520000,671113000,314305350,258.0807755
Argentina,"Population, total",20481779,23880561,27896528,32618651,36870787,40788453,45303000,49069000,52278000,54894000,21422439,89.7065986
Armenia,"Population, total",1874121,2525068,3099754,3538171,3069591,2877319,2963000,2967000,2905000,2816000,437932,17.34337452
Aruba,"Population, total",54211,59063,60096,62149,90853,101669,107000,110000,111000,109000,47937,81.16248751
Australia,"Population, total",10276477,12507000,14692000,17065100,19153000,22031750,25608000,28393000,30831000,33194000,13101000,104.7493404
Austria,"Population, total",7047539,7467086,7549433,7677850,8011566,8363404,8883000,9017000,9020000,8883000,1415914,18.96206901
Azerbaijan,"Population, total",3895397,5180023,6150733,7159000,8048600,9054332,10115000,10694000,10991000,11029000,4934977,95.26940324
"Bahamas, The","Population, total",109534,169377,210591,256223,298051,354942,393000,427000,450000,463000,223623,132.0267805
Bahrain,"Population, total",162427,212605,359888,495931,664611,1240860,1702000,2013000,2200000,2316000,1489395,700.5456128
Bangladesh,"Population, total",48013504,64232482,79639491,103171956,127657854,147575430,164689000,178994000,188417000,192568000,100456518,156.3951989
Barbados,"Population, total",230980,238896,252394,260936,271515,282131,287000,289000,287000,277000,48104,20.13595874
Belarus,"Population, total",8198000,9040000,9643000,10189000,9979610,9490583,9448000,9191000,8833000,8562000,408000,4.513274336
Belgium,"Population, total",9153489,9655549,9859242,9967379,10251250,10895586,11538000,11904000,12149000,12321000,1882451,19.49605351
Belize,"Population, total",92064,122182,144155,187552,247315,322464,398000,468000,526000,571000,275818,225.7435629
Benin,"Population, total",2431622,2912340,3717165,4978496,6865951,9199259,12123000,15672000,19775000,24280000,9210660,316.263211
Bermuda,"Population, total",44400,55000,54670,59326,61833,65124,..,..,..,..,#VALUE!,#VALUE!
Bhutan,"Population, total",223288,297316,406875,530804,591021,685503,772000,843000,885000,905000,474684,159.6563925
Bolivia,"Population, total",3656955,4484004,5579935,6864842,8418264,10048590,11673000,13240000,14653000,15840000,7188996,160.3253699
Bosnia and Herzegovina,"Population, total",3225668,3760529,4179855,4463423,3751176,3705472,3281000,3127000,2923000,2685000,-479529,-12.7516368
Botswana,"Population, total",502745,627715,897868,1286756,1643334,1987105,2352000,2774000,3168000,3510000,1724285,274.6923365
Brazil,"Population, total",72179226,95113265,120694009,149003223,174790340,195713635,212559000,223852000,229059000,228980000,117445735,123.479869
British Virgin Islands,"Population, total",8048,9827,11478,17489,20311,27794,30000,32000,32000,32000,20173,205.2813677
Brunei Darussalam,"Population, total",81702,129529,193879,258721,333165,388646,437000,471000,489000,492000,307471,237.376186
